,userName,content,score,manualSentimentLabel
7,Nur Komar,"Cukup bagus tapi syg , kalau offline gak bisa diputar suara ngajinya, tolong prbaiki trims wslm",3,1
10,Rasyid Kurniawan,"Banyak bug, seperti scrol otomatis tersendat ² & crash tanpa sebab yang jelas",3,0
12,Rahmat Apandi,Mohon sertakan tutorial pencarian ayat di deskripsi. Sangat membingungkan karena apa pun yg kita tulis tidak menemukan hasil pencarian.,3,0
17,Abdul Muin Tadjuddin,"Mohon maaf kasih satu bintang aja soalnya masih ada beberapa kekurangan. Jadwal sholatnya tidak memunculkan jam waktu sholat, kalender hijriahnya juga tidak dapat dimunculkan. Untuk saat ini saya belum minat untuk menggunakan.",1,0
21,Cikgu Rowi,Tidak bisa dibuka dari halaman ke halaman secara offline.,1,0
29,Samsuri,Tak berjalan notif azan nya di hp realme c21y,1,0
36,yoto sugiarto YoNsU,"Sudah lama saya pakai aplikasi ini, terakhir update, alquran perhalamannya malah tidak muncul, silahkan di dadanin pak, saya tunggu updatenya yak",2,0
41,Historeka,Kok setelah update malah error.. Fungsi bookmark bermasalah.. Terus lama download resource halamannya..,2,0
42,"Nurul Khikmah, S.H","tulisan jelas untuk perhalaman, lengkap dengan tajwid, serta disediakan waktu sholat, sayangnya pas sampai halaman 46 langsung nggk keluar tulisan apapun",2,1
43,Adi Prabowo,"Diperbaiki ya, halaman nya ga muncul apa-apa",1,0
44,Solihin Solihin,Bagus tapi masih timbul tenggelam,3,1
45,Faisal akbar,Kenapa tulisan qur'annya hilang?? Gk muncul2,2,0
60,Fierdhauz Sanz,"Ada mesin pencarian dong, nyari kata atau surah dg kata",2,0
62,Jamal Damanik,"Mohon keterangan pak Rama di cek dan di teliti kembali,admin.agar tiada multitafsir, terimakasih",3,0
63,Ciut Prut,"Jadwal sholat 2022 gak ada di tampilan, kosong👎",2,0
73,Mgs Fadly,"Jangan download aplikasi ini,, ini aplikasi sesat menyesatkan,,, terjemahan almaidah ayat 51 dirubah.. artinya yg selama ini pemimpin, menjadi teman setia...sngt jauh penafsirannya...utk menyesatkan umat islam demi kepentingan politik kaum2 kafir...na'udzubillah...",1,0
76,Sayyidah Muhtar,"Setelah di update,kenapa al-qur'annya tidak bisa dibuka? Tiap buka al-qur'an per halaman suka eror dan tiba-tiba keluar dari aplikasinya. Terimakasih",3,0
81,M. Ashab Saefullah,Tolong UI & UX diperbaiki lagi.,3,0
83,Suratno M.S,Dicoba dlu,3,1
86,Tirta 2003,Yang dibaca perhalaman kok tidak bisa dibuka,1,0
95,Djudju Djunaedi,Apl tidak nampak dilayar,2,0
96,Apri Yanto,"Kalau menurut saya ini sebaiknya tidak digratiskan, tetapi berbayar. وسلام",2,0
97,Rama 2014,"Pada ayat: 86.At-Tariq : 7 يَخْرُجُ مِنْ بَيْنِ الصُّلْبِ وَالتَّرَائِبِ yang keluar dari antara tulang sulbi (punggung) dan tulang dada. Penjelasan dalam kurung menulis ""(punggung)"" padahal seharusnya ""(tulang ekor)"". Ini bisa membuat orang salah persepsi karena tulang punggung berada 2 di atas dekat bahu, tulang punggung tidak berada dekat dgn organ reproduksi. Pd HP android 9 tidak bisa membuka Al-Qur'an perhalaman. Dan jg kalau bisa ada terjemahan Al-Qur'an dlm bahasa Inggris. Terima kasih.",3,0
101,Muhammad Nasar,Ini aplikasi nya online kah?,3,0
105,Aminuďin Hamzhah,Bagud,1,1
107,Miftahul Huda,Kenapa tidak ada offline nya untuk yang perlembar💨,3,0
113,Abd Rohman Agustian,"Bagus sih, tapi sering tiba** keluar sendiri dari halaman yang dibaca",3,1
130,Dal Allen,"Ini Al-qur'an buatan negara yaa ??? Negara Thogut yg mau merubah terjemahan seenak jidat disesuaikan dengan kondisi penguasa... Saya tidak merekomendasikan Al-qur'an ini bagi yg mau mencari Al-qur'an yg benar2 sesuai dengan terjemah aslinya, karena sudah disesuaikan dengan kondisi penguasa atau ini bisa disebut AL-QUR'AN RAMAH MINORITAS. Liat aja itu bagian deskripsi aplikasi TERJEMAH EDISI 2019 🤣🤣🤣🤣 PANTAS SAJA BEDA, LAMA2 DAH NGIKUT ALKITAB YG BANYAK TERJEMAHANNYA, BIKIN SESAT UMAT",1,0
